lgid,lgtype,latitude,longitude,govname
01001,1,39.99,-104.82,Adams County
01005,2,39.86,-104.82,"Commerce City, City of"
01009,2,39.87,-105.02,"Federal Heights, City of"
01011,12,39.99,-104.88,Hi-Land Acres Water & Sanitation District
01013,7,39.85,-105.04,Hyland Hills Metropolitan Park & Recreation District
01023,8,39.85,-104.84,South Adams County Fire Protection District
01024,8,39.82,-105.04,Southwest Adams County Fire Protection District
01039,6,40,-104.76,Bromley Park Metropolitan District No. 2
01041,6,39.99,-104.74,Brighton Crossing Metropolitan District No. 4
01049,6,39.92,-104.91,Wright Farms Metropolitan District
01064,6,39.91,-104.8,Buffalo Ridge Metropolitan District
01065,6,39.87,-104.86,Eagle Creek Metropolitan District
01066,6,39.9,-104.86,Riverdale Dunes Metropolitan District No. 1
01082,6,39.89,-104.88,Belle Creek Metropolitan District No. 1
01102,7,39.83,-104.5,Bennett Park and Recreation District
01900,99,39.83,-104.94,Mapleton 1 School District
01901,99,39.93,-104.99,Adams 12 Five Star Schools
01902,99,39.84,-104.87,Adams County 14 School District
01910,99,39.83,-105.02,Westminster 50 School District
02001,1,37.47,-105.87,Alamosa County
02003,2,37.48,-105.89,"Alamosa, City of"
02004,12,37.47,-105.83,East Alamosa Water & Sanitation District
02005,5,37.75,-105.88,"Hooper, Town of"
03001,1,39.61,-105.02,Arapahoe County
03006,6,39.6,-104.87,Arapahoe Lake Public Park District
03012,6,39.59,-104.7,Chaparral Metropolitan District
03015,7,39.61,-104.86,Cherry Creek Vista Metropolitan Recreation & Park District
03023,2,39.64,-104.95,"Cherry Hills Village, City of"
03024,6,39.66,-104.83,Heather Gardens Metropolitan District
03029,5,39.6,-105.04,"Columbine Valley, Town of"
03032,8,39.64,-104.8,Cunningham Fire Protection District
03033,5,39.61,-104.04,"Deer Trail, Town of"
03036,6,39.6,-104.66,East Arapahoe Metropolitan District
03041,2,39.65,-105,"Englewood, City of"
03043,2,39.7,-104.94,"Glendale, City of"
03051,2,39.62,-104.92,"Greenwood Village, City of"
03059,7,39.61,-104.9,Orchard Hills Metropolitan Recreation & Park District
03065,2,39.65,-105.04,"Sheridan, City of"
03067,6,39.62,-104.72,Smoky Hill Metropolitan District
03076,6,39.61,-104.87,Sundance Hills Metropolitan District
03087,7,39.62,-104.68,Arapahoe Park & Recreation District
03097,6,39.58,-104.84,Dove Valley Metropolitan District
03103,6,39.58,-104.74,Parker Jordan Metropolitan District
03129,6,39.6,-104.82,Goodman Metropolitan District
03130,6,39.62,-104.64,East Smoky Hill Metropolitan District No. 1
03134,5,39.59,-104.78,"Foxfield, Town of"
03163,2,39.59,-104.87,"Centennial, City of"
03903,99,39.62,-104.84,Cherry Creek 5 School District
03905,99,39.65,-104.98,Englewood 1 School District
03906,99,39.59,-104.98,Littleton 6 School District
03907,99,39.65,-105.02,Sheridan 2 School District
04001,1,37.27,-107.01,Archuleta County
04004,8,37.26,-107.08,Pagosa Fire Protection District
04006,2,37.27,-107.03,"Pagosa Springs, Town of"
04014,6,37.33,-106.95,San Juan River Village Metropolitan District
04015,6,37.26,-107.05,Alpha-Rockridge Metropolitan District
04018,6,37.18,-106.98,Loma Linda Metropolitan District
05001,1,37.41,-102.61,Baca County
05003,5,37.1,-102.58,"Campo, Town of"
05006,5,37.37,-102.86,"Pritchett, Town of"
05008,9,37.4,-102.59,Southeast Colorado Hospital District
05010,7,37.4,-102.65,Springfield Metropolitan Recreation District
05011,5,37.4,-102.63,"Springfield, Town of"
05014,7,37.57,-102.42,Two Buttes Metropolitan Recreation & Park District
05016,5,37.56,-102.4,"Two Buttes, Town of"
05018,7,37.34,-102.43,Vilas Metropolitan Recreation District
05019,5,37.37,-102.45,"Vilas, Town of"
05021,9,37.38,-102.26,Walsh Hospital District
05022,7,37.31,-102.19,Walsh Metropolitan Recreation District
05023,5,37.39,-102.28,"Walsh, Town of"
05026,7,37.09,-102.6,Campo Park & Recreation District
05900,99,37.33,-102.21,Walsh RE-1 School District
05901,99,37.34,-102.94,Pritchett RE-3 School District
05902,99,37.43,-102.67,Springfield RE-4 School District
05903,99,37.34,-102.41,Vilas RE-5 School District
05904,99,37.09,-102.62,Campo RE-6 School District
06001,1,38.07,-103.24,Bent County
06005,4,38.07,-103.22,"Las Animas, City of"
06006,8,38.07,-103.2,Las Animas-Bent County Fire Protection District
06900,99,37.94,-103.21,Las Animas RE-1 School District
06901,99,37.96,-102.9,McClave RE-2 School District
07001,12,40.2,-105.53,Allenspark Water & Sanitation District
07003,1,40.01,-105.29,Boulder County
07006,2,40.03,-105.25,"Boulder, City of"
07013,7,40.08,-105.18,Gunbarrel Estates Metropolitan Recreation and Park District
07016,8,40.2,-105.2,Hygiene Fire Protection District
07018,5,40.12,-105.39,"Jamestown, Town of"
07020,2,39.99,-105.1,"Lafayette, City of"
07022,8,40.13,-105.36,Left Hand Fire Protection District
07027,8,39.98,-105.12,Louisville Fire Protection District
07029,2,39.97,-105.14,"Louisville, City of"
07032,5,40.22,-105.27,"Lyons, Town of"
07033,5,39.96,-105.5,"Nederland, Town of"
07042,2,40.07,-105.51,"Ward, Town of"
07050,8,40.01,-105.41,Sugar Loaf Fire Protection District
07057,8,40.07,-105.23,Boulder Rural Fire Protection District
07059,8,39.97,-105.58,Nederland Fire Protection District
08002,5,38.83,-106.14,"Buena Vista, Town of"
08003,1,38.54,-105.98,Chaffee County
08004,8,38.75,-106.2,Chaffee County Fire Protection District
08006,5,38.51,-106.09,"Poncha Springs, Town of"
08007,4,38.53,-106,"Salida, City of"
08900,99,38.84,-106.23,Buena Vista R-31 School District
09002,1,38.82,-102.33,Cheyenne County
09003,8,38.82,-102.29,Cheyenne County Fire Protection District No. 1
09005,7,38.82,-102.37,Cheyenne Wells Metropolitan Recreation District
09007,5,38.82,-102.35,"Cheyenne Wells, Town of"
09013,5,38.76,-102.8,"Kit Carson, Town of"
09014,8,38.76,-102.78,West Cheyenne Fire Protection District
09900,99,38.83,-102.89,Kit Carson R-1 School District
09901,99,38.83,-102.31,Cheyenne County RE-5 School District
10001,10,39.77,-105.61,Central Clear Creek Sanitation District
10003,1,39.71,-105.71,Clear Creek County
10004,7,39.7,-105.65,Clear Creek Metropolitan Recreation District
10005,5,39.76,-105.67,"Empire, Town of"
10007,3,39.72,-105.69,"Georgetown, Town of"
10008,4,39.74,-105.5,"Idaho Springs, City of"
10009,5,39.7,-105.73,"Silver Plume, Town of"
10010,6,39.82,-105.65,St. Mary's Glacier Metropolitan District
10011,12,39.82,-105.63,St. Mary's Glacier Water & Sanitation District
10012,31,39.7,-105.67,Clear Creek County Emergency Services General Improvement District
10900,99,39.69,-105.63,Clear Creek RE-1 School District
11001,5,37.08,-106,"Antonito, Town of"
11004,1,37.09,-106.02,Conejos County
11005,9,37.26,-105.94,Conejos County Hospital District
11009,5,37.27,-105.96,"La Jara, Town of"
11010,5,37.17,-105.94,"Manassa, Town of"
11012,8,37.26,-105.88,Northeast Conejos County Fire Protection District
11013,5,37.17,-105.98,"Romeo, Town of"
11016,2,37.26,-105.9,"Sanford, Town of"
11017,8,37.07,-106.04,South Conejos Fire Protection District
11903,99,37.09,-106.2,South Conejos RE-10 School District
12001,5,37.44,-105.51,"Blanca, Town of"
12002,6,37.45,-105.4,Blanca/Fort Garland Metropolitan District
12003,1,37.2,-105.4,Costilla County
12005,8,37.2,-105.44,Costilla County Fire Protection District
12009,5,37.2,-105.42,"San Luis, Town of"
12900,99,37.14,-105.45,Centennial R-1 School District
12901,99,37.44,-105.38,Sierra Grande R-30 School District
13001,1,38.22,-103.78,Crowley County
13002,5,38.19,-103.86,"Crowley, Town of"
13004,5,38.17,-103.94,"Olney Springs, Town of"
13006,5,38.22,-103.76,"Ordway, Town of"
13007,5,38.23,-103.66,"Sugar City, Town of"
14001,1,38.14,-105.49,Custer County
14004,5,38.12,-105.41,"Silver Cliff, Town of"
14005,5,38.13,-105.47,"Westcliffe, Town of"
14006,8,38.13,-105.45,Wet Mountain Fire Protection District
14900,99,38.1,-105.39,Consolidated C-1 School District
15001,11,38.81,-107.64,Bone Mesa Domestic Water District
15003,2,38.89,-107.93,"Cedaredge, Town of"
15005,5,38.71,-107.61,"Crawford, Town of"
15006,1,38.74,-108.07,Delta County
15008,8,38.85,-107.6,Delta County Fire Protection District No. 2
15009,8,38.93,-107.95,Delta County Fire Protection District No. 3
15010,8,38.83,-107.77,Delta County Fire Protection District No. 4
15014,8,38.76,-108.12,Delta County Fire Protection District No. 1
15015,2,38.76,-108.09,"Delta, City of"
15020,5,38.8,-107.71,"Hotchkiss, Town of"
15022,5,38.81,-107.97,"Orchard City, Town of"
15025,5,38.87,-107.58,"Paonia, Town of"
15029,7,38.89,-107.63,"North Fork Pool, Park & Recreation District"
16002,61,39.74,-104.99,Denver County
16010,6,39.79,-104.77,Ebert Metropolitan District
16011,6,39.78,-104.75,GVR Metropolitan District
16900,99,39.76,-104.88,Denver County 1 School District
17002,1,37.77,-108.9,Dolores County
17003,5,37.77,-108.92,"Dove Creek, Town of"
17004,8,37.76,-108.88,Dove Creek Fire Protection District
17007,2,37.69,-108.03,"Rico, Town of"
17011,8,37.69,-108.01,Rico Fire Protection District
18003,2,39.38,-104.84,"Castle Rock, Town of"
18008,1,39.37,-104.86,Douglas County
18011,8,39.29,-104.73,Franktown Fire Protection District
18019,8,39.34,-104.98,Jackson-105 Fire Protection District
18021,2,39.23,-104.89,"Larkspur, Town of"
18024,7,39.52,-104.94,McArthur Ranch Metropolitan Recreation District
18028,2,39.51,-104.78,"Parker, Town of"
18029,6,39.25,-104.99,Perry Park Metropolitan District
18034,8,39.4,-105.02,West Douglas County Fire Protection District
18036,6,39.56,-104.8,Cottonwood Metropolitan District
18042,6,39.54,-104.82,Lincoln Park Metropolitan District
18043,6,39.53,-104.8,Stonegate Village Metropolitan District
18044,6,39.47,-104.92,Castle Pines North Metropolitan District
18045,6,39.37,-104.81,Founders Village Metropolitan District
18053,6,39.49,-104.76,Cherry Creek South Metropolitan District No. 1
18055,6,39.48,-105.08,Roxborough Village Metropolitan District
18056,6,39.41,-104.96,Meadows Metropolitan District No. 1
18057,6,39.39,-104.98,Meadows Metropolitan District No. 2
18058,6,39.4,-104.88,Meadows Metropolitan District No. 3
18059,6,39.39,-104.9,Meadows Metropolitan District No. 4
18061,6,39.4,-104.92,Meadows Metropolitan District No. 6
18062,6,39.38,-104.94,Meadows Metropolitan District No. 7
18083,6,39.44,-104.73,High Prairie Farms Metropolitan District
18095,16,39.33,-104.94,Douglas County Libraries
18097,8,39.22,-104.87,Larkspur Fire Protection District
18102,6,39.49,-104.88,Hidden Pointe Metropolitan District
18103,6,39.51,-104.72,Canterberry Crossing Metropolitan District
18104,2,39.53,-104.86,"Lone Tree, City of"
18110,6,39.3,-104.87,Consolidated Bell Mountain Ranch Metropolitan District
18112,6,39.44,-104.79,Pinery West Metropolitan District No. 2
18114,6,39.56,-104.74,E-470 Potomac Metropolitan District
18122,6,39.5,-104.7,Canterberry Crossing Metropolitan District II
19001,6,39.62,-106.56,Arrowhead Metropolitan District
19003,2,39.64,-106.51,"Avon, Town of"
19004,6,39.61,-106.53,Beaver Creek Metropolitan District
19005,6,39.66,-106.67,Bellyache Ridge Metropolitan District
19006,6,39.65,-106.58,Berry Creek Metropolitan District
19009,5,39.64,-106.81,"Eagle, Town of"
19011,1,39.65,-106.83,Eagle County
19015,6,39.62,-106.49,Eagle-Vail Metropolitan District
19018,8,39.65,-106.78,Greater Eagle Fire Protection District
19020,2,39.63,-106.93,"Gypsum, Town of"
19024,2,39.55,-106.39,"Minturn, Town of"
19026,5,39.51,-106.37,"Red Cliff, Town of"
19032,7,39.64,-106.37,Vail Park & Recreation District
19038,2,39.64,-106.35,"Vail, Town of"
19039,7,39.74,-106.84,Western Eagle County Metropolitan Recreation District
19051,6,39.63,-106.96,Cotton Ranch Metropolitan District
19071,8,39.59,-106.51,Eagle River Fire Protection District
20001,1,39.35,-104.44,Elbert County
20002,12,39.22,-104.54,Elbert Water & Sanitation District
20003,8,39.37,-104.59,Elizabeth Fire Protection District
20004,5,39.36,-104.61,"Elizabeth, Town of"
20005,2,39.34,-104.46,"Kiowa, Town of"
20006,5,39.14,-104.08,"Simla, Town of"
20008,8,39.52,-104.56,Rattlesnake Fire Protection District
20009,8,39.38,-104.36,Kiowa Fire Protection District
20010,7,39.41,-104.57,Elizabeth Park & Recreation District
20901,99,39.41,-104.55,Elizabeth C-1 School District
20902,99,39.37,-104.34,Kiowa C-2 School District
20904,99,39.2,-104.51,Elbert 200 School District
20905,99,39.45,-104,Agate 300 School District
21002,8,39.01,-104.7,Black Forest Fire/Rescue Protection District
21003,8,38.78,-104.85,Broadmoor Fire Protection District
21006,5,39.03,-104.3,"Calhan, Town of"
21007,8,38.89,-104.96,Cascade Fire Protection District
21010,6,38.84,-104.65,Cherokee Metropolitan District
21012,6,38.8,-104.88,Cheyenne Creek Metropolitan Park & Water District
21013,8,38.85,-104.7,Cimarron Hills Fire Protection District
21015,2,38.87,-104.76,"Colorado Springs, City of"
21019,1,38.83,-104.82,El Paso County
21021,8,38.97,-104.56,Falcon Fire Protection District
21022,11,39.1,-104.89,Forest View Acres Water District
21026,2,38.69,-104.68,"Fountain, City of"
21030,2,38.86,-104.91,"Manitou Springs, City of"
21032,5,39.07,-104.85,"Monument, Town of"
21034,5,39.12,-104.91,"Palmer Lake, Town of"
21035,11,38.99,-104.69,Park Forest Water District
21036,5,39.12,-104.17,"Ramah, Town of"
21038,8,38.74,-104.72,Security Fire Protection District
21047,8,39.09,-104.81,Tri-Lakes Monument Fire Protection District
21057,6,38.76,-104.65,Colorado Centre Metropolitan District
21061,6,39.07,-104.83,Triview Metropolitan District
21074,6,38.98,-104.62,Paint Brush Hills Metropolitan District
21079,8,39.02,-104.47,Peyton Fire Protection District
21081,6,38.86,-104.93,Manitou Springs Metropolitan District
21087,8,38.61,-104.5,Hanover Fire Protection District
21089,6,38.95,-104.6,Woodmen Hills Metropolitan District
21094,6,38.81,-104.45,Ellicott Metropolitan District
21106,6,38.99,-104.58,Meridian Ranch Metropolitan District
21901,99,38.79,-104.77,Harrison 2 School District
21902,99,38.76,-104.68,Widefield 3 School District
21903,99,38.67,-104.74,Fountain 8 School District
21904,99,38.87,-104.8,Colorado Springs 11 School District
21905,99,38.78,-104.91,Cheyenne Mountain 12 School District
21906,99,38.9,-104.98,Manitou Springs 14 School District
21907,99,38.99,-104.79,Academy 20 School District
21908,99,38.81,-104.43,Ellicott 22 School District
21910,99,38.6,-104.48,Hanover 28 School District
21911,99,39.08,-104.87,Lewis Palmer 38 School District
21913,99,38.95,-104.58,Falcon 49 School District
22001,5,38.41,-105.18,"Brookside, Town of"
22002,2,38.44,-105.22,"Canon City, City of"
22003,8,38.46,-105.28,Canon City Area Fire Protection District
22004,7,38.44,-105.26,Canon City Area Metropolitan Recreation & Park District
22006,5,38.36,-105.12,"Coal Creek, Town of"
22009,8,38.39,-105.08,Florence Fire Protection District
22011,4,38.38,-105.1,"Florence, City of"
22013,1,38.44,-105.24,Fremont County
22015,10,38.45,-105.2,Fremont Sanitation District
22018,5,38.36,-105.14,"Rockvale, Town of"
22019,5,38.38,-105.16,"Williamsburg, Town of"
22022,7,38.48,-105.01,Penrose Park & Recreation District
22900,99,38.42,-105.65,Cotopaxi RE-3 School District
22902,99,38.54,-105.33,Canon City RE-1 School District
23004,2,39.39,-107.21,"Carbondale, Town of"
23005,1,39.55,-107.31,Garfield County
23008,2,39.55,-107.33,"Glenwood Springs, City of"
23010,8,39.53,-108.04,Grand Valley Fire Protection District
23012,2,39.58,-107.53,"New Castle, Town of"
23013,2,39.45,-108.08,"Parachute, Town of"
23014,8,39.55,-107.78,Rifle Fire Protection District
23017,2,39.54,-107.75,"Rifle, City of"
23019,2,39.55,-107.65,"Silt, Town of"
23020,8,39.7,-107.49,Colorado River Fire Protection District
23029,7,39.54,-108.06,Parachute/Battlement Mesa Park & Recreation District
23032,6,39.44,-108.03,Battlement Mesa Metropolitan District
23035,47,39.53,-107.8,Garfield County Emergency Communications Authority
23900,99,39.54,-108.1,Garfield 16 School District
23901,99,39.59,-107.69,Garfield RE-2 School District
24001,2,39.8,-105.48,"Black Hawk, City of"
24004,8,39.84,-105.46,Colorado Sierra Fire Protection District
24005,1,39.8,-105.52,Gilpin County
24901,99,39.82,-105.56,Gilpin County RE-1 School District
25001,6,39.93,-106.34,Blue Valley Metropolitan District
25002,11,40.26,-105.85,Columbine Lake Water District
25003,8,39.93,-105.84,East Grand County Fire Protection District No. 4
25005,7,39.94,-105.82,Fraser Valley Metropolitan Recreation
25006,5,39.93,-105.8,"Fraser, Town of"
25008,5,40.06,-105.92,"Granby, Town of"
25009,1,40.07,-106.1,Grand County
25011,8,40.1,-105.94,Grand Fire Protection District No. 1
25012,8,40.31,-105.84,Grand Lake Fire Protection District
25013,7,40.24,-105.89,Grand Lake Metropolitan Recreation District
25014,5,40.25,-105.82,"Grand Lake, Town of"
25015,5,40.07,-106.12,"Hot Sulphur Springs, Town of"
25016,8,40.09,-106.08,Hot Sulphur Springs-Parshall Fire Protection District
25017,10,40.06,-106.4,Kremmling Sanitation District
25018,5,40.06,-106.38,"Kremmling, Town of"
25021,12,40.2,-105.85,Three Lakes Water & Sanitation District
25025,2,39.88,-105.78,"Winter Park, Town of"
25030,8,40.07,-106.36,Kremmling Fire Protection District
25900,99,40.13,-105.88,East Grand 2 School District
26001,8,38.9,-106.94,Crested Butte Fire Protection District
26004,2,38.87,-106.98,"Crested Butte, Town of"
26006,1,38.55,-106.94,Gunnison County
26008,2,38.55,-106.92,"Gunnison, City of"
26010,5,39.07,-107.19,"Marble, Town of"
26011,2,38.91,-106.96,"Mt. Crested Butte, Town of"
26012,5,38.61,-106.51,"Pitkin, Town of"
27001,1,38.03,-107.29,Hinsdale County
27005,5,38.03,-107.31,"Lake City, Town of"
27006,8,38.03,-107.33,Lake City Area Fire Protection District
27900,99,37.92,-107.3,Hinsdale County RE 1 School District
28002,1,37.62,-104.78,Huerfano County
28006,8,37.47,-105.08,La Veta Fire Protection District
28007,5,37.51,-105.01,"La Veta, Town of"
28010,4,37.63,-104.8,"Walsenburg, City of"
28900,99,37.72,-104.94,Huerfano RE-1 School District
28901,99,37.47,-105.06,La Veta RE-2 School District
29001,1,40.73,-106.28,Jackson County
29006,5,40.73,-106.26,"Walden, Town of"
29900,99,40.67,-106.34,North Park R-1 School District
30003,8,39.83,-105.16,Arvada Fire Protection District
30016,7,39.59,-105.06,Columbine Knolls Grove Metropolitan Recreation District
30020,2,39.75,-105.08,"Edgewater, City of"
30023,7,39.63,-105.32,Evergreen Park & Recreation District
30027,8,39.8,-105.24,Fairmount Fire Protection District
30028,7,39.61,-105.15,Foothills Park & Recreation District
30029,6,39.7,-105.25,Forest Hills Metropolitan District
30032,8,39.69,-105.28,Genesee Fire Protection District
30035,2,39.74,-105.22,"Golden, City of"
30041,12,39.67,-105.25,Idledale Water and Sanitation District
30042,8,39.63,-105.25,Indian Hills Fire Protection District
30044,8,39.52,-105.19,Inter-Canyon Fire Protection District
30047,1,39.73,-105.2,Jefferson County
30053,5,39.78,-105.1,"Lakeside, Town of"
30055,2,39.7,-105.12,"Lakewood, City of"
30057,7,39.6,-105.09,Leawood Metropolitan Recreation and Park District
30065,2,39.64,-105.19,"Morrison, Town of"
30067,2,39.77,-105.06,"Mountain View, Town of"
30075,6,39.73,-105.18,Pleasant View Metropolitan District
30090,8,39.77,-105.14,Wheat Ridge Fire Protection District
30093,2,39.77,-105.12,"Wheat Ridge, City of"
30105,6,39.58,-105.23,Plains Metropolitan District
30111,6,39.6,-105.19,West Meadows Metropolitan District
30115,8,39.79,-105.33,Golden Gate Fire Protection District
30116,6,39.57,-105.21,Ken-Caryl Ranch Metropolitan District
30124,6,39.73,-105.29,Mount Vernon Country Club Metropolitan District
30127,8,39.3,-105.28,North Fork Fire Protection District
30136,8,39.7,-105.23,Foothills Fire Protection District
30138,7,39.84,-105.2,Apex Park and Recreation District
30140,6,39.56,-105.15,Deer Creek Metropolitan District
30148,7,39.77,-105.16,Prospect Recreation and Park District
30900,99,39.59,-105.25,Jefferson County R-1 School District
31002,5,38.48,-102.78,"Eads, Town of"
31003,5,38.45,-103.16,"Haswell, Town of"
31004,1,38.48,-102.8,Kiowa County
31005,9,38.43,-102.74,Kiowa County Hospital District
31008,5,38.47,-102.29,"Sheridan Lake, Town of"
31900,99,38.43,-102.97,Eads RE-1 School District
31901,99,38.44,-102.27,Plainview RE-2 School District
32001,5,39.3,-102.42,"Bethune, Town of"
32002,8,39.31,-102.25,Burlington Fire Protection District
32004,2,39.3,-102.27,"Burlington, City of"
32007,8,39.3,-103.04,Flagler Rural Fire Protection District
32010,5,39.29,-103.08,"Flagler, Town of"
32011,1,39.3,-102.29,Kit Carson County
32014,8,39.31,-102.89,Seibert Fire Protection District
32015,5,39.3,-102.87,"Seibert, Town of"
32018,8,39.3,-102.62,Stratton Fire Protection District
32020,5,39.3,-102.6,"Stratton, Town of"
32023,5,39.3,-102.74,"Vona, Town of"
32901,99,39.29,-102.82,Hi-Plains R-23 School District
32902,99,39.28,-102.56,Stratton R-4 School District
32903,99,39.3,-102.44,Bethune R-5 School District
33001,1,39.25,-106.29,Lake County
33004,4,39.25,-106.27,"Leadville, City of"
33005,11,39.25,-106.31,Parkville Water District
33009,9,39.24,-106.33,St. Vincent General Hospital District
33900,99,39.2,-106.35,Lake County R-1 School District
34001,8,37.24,-107.85,Animas Fire Protection District
34005,5,37.23,-107.59,"Bayfield, Town of"
34006,6,37.26,-108,Durango West Metropolitan District No. 1
34007,6,37.27,-107.98,Durango West Metropolitan District No. 2
34008,2,37.27,-107.87,"Durango, City of"
34011,6,37.33,-107.59,Forest Lakes Metropolitan District
34015,5,37.12,-107.64,"Ignacio, Town of"
34017,1,37.27,-107.89,La Plata County
34024,6,37.63,-107.81,Purgatory Metropolitan District
34027,8,37.32,-107.57,Upper Pine River Fire Protection District
34031,8,37.19,-108.15,Fort Lewis Mesa Fire Protection District
34033,8,37.12,-107.62,Los Pinos Fire Protection District
34034,10,37.22,-107.8,Loma Linda Sanitation District
34035,6,37.21,-107.74,El Rancho Florida Metropolitan District
34900,99,37.27,-107.94,Durango 9-R School District
35004,5,40.37,-105.52,"Estes Park, Town of"
35009,2,40.55,-105.06,"Fort Collins, City of"
35015,1,40.59,-105.08,Larimer County
35025,8,40.42,-105.18,Loveland Rural Fire Protection District
35026,2,40.42,-105.06,"Loveland, City of"
35033,8,40.28,-105.36,Pinewood Springs Fire Protection District
35035,8,40.67,-105.61,Poudre Canyon Fire Protection District
35038,8,40.81,-105.58,Red Feather Lakes Fire Protection District
35039,10,40.49,-105.03,South Fort Collins Sanitation District
35044,2,40.53,-104.96,"Timnath, Town of"
35046,8,40.84,-105.06,Wellington Fire Protection District
35047,5,40.7,-105.01,"Wellington, Town of"
35062,8,40.74,-105.41,Glacier View Fire Protection District
35070,8,40.84,-105.64,Crystal Lakes Fire Protection District
35080,8,40.88,-105.32,Livermore Fire Protection District
35902,99,40.77,-105.49,Poudre R-1 School District
36001,5,37.4,-104.66,"Aguilar, Town of"
36002,5,37.02,-103.88,"Branson, Town of"
36004,5,37.14,-104.62,"Cokedale, Town of"
36005,5,37.25,-103.35,"Kim, Town of"
36006,1,37.17,-104.51,Las Animas County
36010,5,37.12,-104.53,"Starkville, Town of"
36011,2,37.17,-104.49,"Trinidad, City of"
36015,8,37.17,-104.47,Fishers Peak Fire Protection District
36018,6,37.04,-104.55,Santa Fe Trail Ranch Metropolitan District
36019,8,37.15,-105.02,Stonewall Fire Protection District
36900,99,37.17,-104.59,Trinidad 1 School District
36901,99,37.12,-104.92,Primero Reorganized 2 School District
36902,99,37.38,-104.14,Hoehne Reorganized 3 School District
36903,99,37.5,-104.54,Aguilar Reorganized 6 School District
36904,99,37.17,-103.85,Branson Reorganized 82 School District
36905,99,37.34,-103.38,Kim Reorganized 88 School District
37002,5,39.28,-103.27,"Arriba, Town of"
37004,5,39.28,-103.5,"Genoa, Town of"
37006,5,39.14,-103.47,"Hugo, Town of"
37007,5,39.27,-103.68,"Limon, Town of"
37008,1,39.14,-103.49,Lincoln County
37901,99,39.12,-103.42,Genoa-Hugo C113 School District
37902,99,38.72,-103.51,Karval RE-23 School District
38001,8,40.86,-102.82,Crook Fire Protection District
38002,5,40.86,-102.8,"Crook, Town of"
38003,8,40.68,-102.82,Fleming Fire Protection District
38005,5,40.68,-102.84,"Fleming, Town of"
38007,5,40.76,-103.07,"Iliff, Town of"
38008,1,40.62,-103.22,Logan County
38011,5,40.48,-103.35,"Merino, Town of"
38014,8,40.96,-103.09,Peetz Fire Protection District
38016,5,40.96,-103.11,"Peetz, Town of"
38019,2,40.62,-103.2,"Sterling, City of"
38021,10,40.63,-103.18,Highland Park Sanitation District
38900,99,40.73,-103.11,Valley RE-1 School District
38901,99,40.63,-102.86,Frenchman RE-3 School District
38903,99,40.92,-103.27,Plateau RE-5 School District
39004,8,39.05,-108.45,Central Orchard Mesa Fire Protection District
39005,8,39.09,-108.45,Clifton Fire Protection District
39007,10,39.08,-108.47,Clifton Sanitation District
39011,5,39.24,-107.96,"Collbran, Town of"
39012,5,39.31,-108.2,"De Beque, Town of"
39014,2,39.15,-108.73,"Fruita, City of"
39017,44,39.11,-108.62,Grand Valley Drainage District
39020,2,39.09,-108.58,"Grand Junction, City of"
39021,8,39.25,-108.8,Lower Valley Fire Protection District
39023,1,39.07,-108.56,Mesa County
39026,12,39.16,-108.13,Mesa Water & Sanitation District
39032,8,39.12,-108.34,Palisade Rural Fire Protection District
39034,5,39.11,-108.36,"Palisade, Town of"
39035,6,39.1,-108.66,Panorama Improvement District
39038,8,39.2,-107.88,Plateau Valley Fire Protection District
39048,6,39.08,-108.15,Grand Mesa Metropolitan District #2
39902,99,39.2,-107.86,Plateau Valley 50 School District
39903,99,38.96,-108.7,Mesa County Valley 51 School District
40001,5,37.85,-106.91,"Creede, City of"
40002,1,37.85,-106.93,Mineral County
40003,8,37.85,-106.95,Mineral County Fire Protection District
40900,99,37.67,-106.92,Creede Consolidated 1 School District
41004,2,40.52,-107.56,"Craig, City of"
41005,5,40.24,-109.01,"Dinosaur, Town of"
